entry_time,exit_time,direction,entry_price,exit_price,sl,tp,lot,atr,pnl,exit_reason,max_favorable,max_adverse
2026-02-10 07:22:00+00:00,2026-02-10 07:33:00+00:00,SELL,5022.729,5029.740270201197,5029.740270201197,5008.706459597608,0.1,7.011270201196166,-70.11270201196567,SL,3.436999999999898,9.180999999999585
2026-02-10 07:53:00+00:00,2026-02-10 08:30:00+00:00,BUY,5034.282999999999,5034.6746781256015,5034.6746781256015,5047.447643748796,0.1,6.582321874398027,3.9167812560208404,SL,6.97400000000016,5.2039999999997235
2026-02-10 08:58:00+00:00,2026-02-10 09:09:00+00:00,BUY,5043.561,5057.2408084544895,5049.067095772755,5057.2408084544895,0.1,6.839904227245119,136.7980845448983,TP,19.52900000000045,4.735999999999876
2026-02-11 07:15:00+00:00,2026-02-11 07:24:00+00:00,BUY,5062.317,5055.553403921251,5055.553403921251,5075.844192157499,0.1,6.763596078749113,-67.63596078749288,SL,3.738999999999578,8.1899999999996
2026-02-11 07:35:00+00:00,2026-02-11 07:42:00+00:00,BUY,5060.409,5053.409132985577,5053.409132985577,5074.408734028845,0.1,6.999867014422733,-69.99867014422307,SL,0.7550000000001091,7.485999999999876
2026-02-11 12:10:00+00:00,2026-02-11 12:18:00+00:00,BUY,5101.945,5093.579464228291,5093.579464228291,5118.676071543418,0.1,8.365535771709299,-83.65535771708892,SL,5.07300000000032,9.634000000000015
2026-02-12 07:00:00+00:00,2026-02-12 07:08:00+00:00,SELL,5057.529,5063.649407580222,5063.649407580222,5045.288184839557,0.1,6.120407580221623,-61.20407580221582,SL,5.608000000000175,6.838999999999942
2026-02-12 13:13:00+00:00,2026-02-12 13:26:00+00:00,BUY,5065.620999999999,5068.7668242482005,5068.7668242482005,5076.455351503598,0.1,5.417175751799317,31.458242482012793,SL,8.563000000001011,1.602999999999156
2026-02-12 14:07:00+00:00,2026-02-12 14:14:00+00:00,BUY,5071.692999999999,5064.425851854379,5064.425851854379,5086.227296291239,0.1,7.267148145620008,-72.67148145620013,SL,5.96100000000115,10.28099999999904
2026-02-13 07:00:00+00:00,2026-02-13 07:17:00+00:00,SELL,4961.049,4970.306568707591,4970.306568707591,4942.533862584817,0.1,9.257568707591254,-92.57568707591417,SL,9.940999999999804,9.57800000000043
2026-02-13 07:31:00+00:00,2026-02-13 08:14:00+00:00,BUY,4972.063999999999,4979.939289054208,4979.939289054208,4991.455421891585,0.1,9.695710945792616,78.75289054208224,SL,17.571000000000822,3.428999999999178
